Store,True_Negatives,False_Positives,False_Negatives,True_Positives,Accuracy,Precision,Recall,weighted_f1,Total_Pairs
S001,17381,36,19,330,0.9969041990318586,0.9016393442622951,0.9455587392550143,0.9319401299068059,17766
S002,18113,57,14,344,0.9961679620034543,0.85785536159601,0.9608938547486033,0.9274737125909949,18528
S003,18295,61,16,349,0.9958869718497944,0.8512195121951219,0.9561643835616438,0.9220607661822986,18721
S004,18123,43,16,346,0.9968156303972366,0.8894601542416453,0.9558011049723757,0.9348824641988652,18528
S005,16658,37,14,311,0.9970035252643948,0.8936781609195402,0.9569230769230769,0.9370292256703826,17020
S006,17382,43,18,323,0.9965664752898795,0.8825136612021858,0.9472140762463344,0.926829268292683,17766
S007,17568,35,18,334,0.9970481759955444,0.9051490514905149,0.9488636363636364,0.9353122374684962,17955
S008,16298,41,16,298,0.9965771932985048,0.8790560471976401,0.9490445859872612,0.926905132192846,16653
S009,17339,68,10,349,0.9956095913542722,0.8369304556354916,0.9721448467966574,0.9272051009564294,17766
S010,17173,59,16,330,0.9957333029923768,0.8483290488431876,0.953757225433526,0.9194761772081359,17578
S011,17005,35,24,327,0.996607440630211,0.9033149171270718,0.9316239316239316,0.9229466553767993,17391
S012,15569,51,20,291,0.9955432803967108,0.8508771929824561,0.9356913183279743,0.9085232594442709,15931
S013,16634,66,14,306,0.9952996474735605,0.8225806451612904,0.95625,0.9117997616209773,17020
S014,17014,46,19,312,0.9962624345926053,0.8715083798882681,0.9425981873111783,0.9200825715128279,17391
S015,16282,45,17,309,0.9962769470966192,0.8728813559322034,0.9478527607361963,0.9240430622009569,16653
