store,optimal_threshold,weighted_f1,recall,precision
S001,0.79,0.9319401299068059,0.9455587392550143,0.9016393442622951
S002,0.79,0.9274737125909949,0.9608938547486033,0.85785536159601
S003,0.79,0.9220607661822986,0.9561643835616438,0.8512195121951219
S004,0.79,0.9348824641988652,0.9558011049723757,0.8894601542416453
S005,0.79,0.9370292256703826,0.9569230769230769,0.8936781609195402
S006,0.79,0.926829268292683,0.9472140762463344,0.8825136612021858
S007,0.79,0.9353122374684962,0.9488636363636364,0.9051490514905149
S008,0.79,0.926905132192846,0.9490445859872612,0.8790560471976401
S009,0.79,0.9272051009564294,0.9721448467966574,0.8369304556354916
S010,0.79,0.9194761772081359,0.953757225433526,0.8483290488431876
